test 1: cpu version, x: number of neurons per layer, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
57 50 100 1556674 573396 
58 50 100 1579345 583856 
59 50 100 1606692 594324 
60 50 100 1646124 604800 
61 50 100 1686443 615284 
62 50 100 1684865 625776 
63 50 100 1714855 636276 
64 50 100 1757924 646784 
65 50 100 1777919 657300 
66 50 100 1834240 667824 
67 50 100 1826767 678356 
68 50 100 1863772 688896 
69 50 100 1893326 699444 
70 50 100 1917852 710000 
71 50 100 1938374 720564 
72 50 100 1984509 731136 
73 50 100 2001417 741716 
74 50 100 2015542 752304 
75 50 100 2050436 762900 
76 50 100 2084134 773504 
77 50 100 2114545 784116 
78 50 100 2129903 794736 
79 50 100 2166138 805364 
80 50 100 2196707 816000 
81 50 100 2233043 826644 
82 50 100 2252762 837296 
83 50 100 2268633 847956 
84 50 100 2308275 858624 
85 50 100 2335662 869300 
86 50 100 2353314 879984 
87 50 100 2381003 890676 
88 50 100 2427921 901376 
89 50 100 2470742 912084 
90 50 100 2472346 922800 
91 50 100 2494627 933524 
92 50 100 2536751 944256 
93 50 100 2562626 954996 
94 50 100 2571767 965744 
95 50 100 2602849 976500 
96 50 100 2670266 987264 
97 50 100 2680099 998036 
98 50 100 2700962 1008816 
99 50 100 2736893 1019604 
100 50 100 2761876 1030400 
test 3: cpu version,x: number of connections per layer, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
5 50 1 151448 40500 
5 50 2 158126 40500 
5 50 3 161433 40500 
5 50 4 109390 40500 
5 50 5 167901 40500 
5 50 6 167523 40500 
5 50 7 167374 40500 
5 50 8 168028 40500 
5 50 9 168683 40500 
5 50 10 167286 40500 
5 50 11 168738 40500 
5 50 12 167370 40500 
5 50 13 167485 40500 
5 50 14 168653 40500 
5 50 15 168179 40500 
5 50 16 167531 40500 
5 50 17 186812 40500 
5 50 18 167456 40500 
5 50 19 167406 40500 
5 50 20 170252 40500 
5 50 21 169541 40500 
5 50 22 170628 40500 
5 50 23 169216 40500 
5 50 24 169883 40500 
5 50 25 167506 40500 
5 50 26 167397 40500 
5 50 27 186771 40500 
5 50 28 167827 40500 
5 50 29 167861 40500 
5 50 30 167891 40500 
5 50 31 167375 40500 
5 50 32 167812 40500 
5 50 33 171809 40500 
5 50 34 134369 40500 
5 50 35 167357 40500 
5 50 36 167507 40500 
5 50 37 167440 40500 
5 50 38 167301 40500 
5 50 39 159118 40500 
5 50 40 168444 40500 
5 50 41 169878 40500 
5 50 42 167310 40500 
5 50 43 156274 40500 
5 50 44 167390 40500 
5 50 45 169169 40500 
5 50 46 156216 40500 
5 50 47 167579 40500 
5 50 48 150764 40500 
5 50 49 151819 40500 
5 50 50 167256 40500 
5 50 51 156285 40500 
5 50 52 167316 40500 
5 50 53 156188 40500 
5 50 54 167412 40500 
5 50 55 151903 40500 
5 50 56 162602 40500 
5 50 57 167932 40500 
5 50 58 145568 40500 
5 50 59 164744 40500 
5 50 60 168783 40500 
5 50 61 141625 40500 
5 50 62 156737 40500 
5 50 63 162141 40500 
5 50 64 165645 40500 
5 50 65 167347 40500 
5 50 66 170359 40500 
5 50 67 167604 40500 
5 50 68 162234 40500 
5 50 69 161787 40500 
5 50 70 156662 40500 
5 50 71 157439 40500 
5 50 72 151194 40500 
5 50 73 150694 40500 
5 50 74 147788 40500 
5 50 75 147873 40500 
5 50 76 145062 40500 
5 50 77 134421 40500 
5 50 78 134342 40500 
5 50 79 153963 40500 
5 50 80 141085 40500 
5 50 81 134445 40500 
5 50 82 151809 40500 
5 50 83 134052 40500 
5 50 84 129661 40500 
5 50 85 140830 40500 
5 50 86 131900 40500 
5 50 87 135734 40500 
5 50 88 139639 40500 
5 50 89 123317 40500 
5 50 90 128892 40500 
5 50 91 134504 40500 
5 50 92 137008 40500 
5 50 93 128923 40500 
5 50 94 164589 40500 
5 50 95 123428 40500 
5 50 96 128608 40500 
5 50 97 119942 40500 
5 50 98 124546 40500 
5 50 99 124479 40500 
5 50 100 112108 40500 
test 4: gpu version, x: number of neurons per layer, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
5 1 100 51614 28 
5 2 100 52456 96 
5 3 100 53653 204 
5 4 100 54348 352 
5 5 100 51970 540 
5 6 100 54343 768 
5 7 100 51226 1036 
5 8 100 51514 1344 
5 9 100 53135 1692 
5 10 100 53367 2080 
5 11 100 53692 2508 
5 12 100 54460 2976 
5 13 100 52604 3484 
5 14 100 53216 4032 
5 15 100 52909 4620 
5 16 100 53926 5248 
5 17 100 56136 5916 
5 18 100 57178 6624 
5 19 100 51611 7372 
5 20 100 52541 8160 
5 21 100 52877 8988 
5 22 100 55149 9856 
5 23 100 57387 10764 
5 24 100 52787 11712 
5 25 100 54452 12700 
5 26 100 54784 13728 
5 27 100 55276 14796 
5 28 100 54562 15904 
5 29 100 57597 17052 
5 30 100 55927 18240 
5 31 100 55616 19468 
5 32 100 55733 20736 
5 33 100 57189 22044 
5 34 100 58403 23392 
5 35 100 54665 24780 
5 36 100 57473 26208 
5 37 100 57099 27676 
5 38 100 57844 29184 
5 39 100 57583 30732 
5 40 100 51948 32320 
5 41 100 53258 33948 
5 42 100 57628 35616 
5 43 100 54371 37324 
5 44 100 54538 39072 
5 45 100 56378 40860 
5 46 100 55200 42688 
5 47 100 53814 44556 
5 48 100 55154 46464 
5 49 100 59496 48412 
5 50 100 56187 50400 
5 51 100 55412 52428 
5 52 100 54489 54496 
5 53 100 55757 56604 
5 54 100 53760 58752 
5 55 100 52335 60940 
5 56 100 51788 63168 
5 57 100 53325 65436 
5 58 100 55591 67744 
5 59 100 54324 70092 
5 60 100 53973 72480 
5 61 100 52826 74908 
5 62 100 50090 77376 
5 63 100 49991 79884 
5 64 100 50667 82432 
5 65 100 48043 85020 
5 66 100 50697 87648 
5 67 100 48253 90316 
5 68 100 48741 93024 
5 69 100 47014 95772 
5 70 100 48974 98560 
5 71 100 49632 101388 
5 72 100 47056 104256 
5 73 100 46978 107164 
5 74 100 47730 110112 
5 75 100 47449 113100 
5 76 100 48588 116128 
5 77 100 49157 119196 
5 78 100 48463 122304 
5 79 100 48268 125452 
5 80 100 48391 128640 
5 81 100 47079 131868 
5 82 100 47366 135136 
5 83 100 48680 138444 
5 84 100 47359 141792 
5 85 100 47270 145180 
5 86 100 48023 148608 
5 87 100 49442 152076 
5 88 100 47565 155584 
5 89 100 47415 159132 
5 90 100 47675 162720 
5 91 100 47447 166348 
5 92 100 47787 170016 
5 93 100 48198 173724 
5 94 100 47749 177472 
5 95 100 47933 181260 
5 96 100 48089 185088 
5 97 100 47306 188956 
5 98 100 49377 192864 
5 99 100 47764 196812 
5 100 100 48119 200800 
test 5: gpu version, x: number of layers, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
1 50 100 1052 10400 
2 50 100 25103 20400 
3 50 100 34281 30400 
4 50 100 44076 40400 
5 50 100 55880 50400 
6 50 100 63563 60400 
7 50 100 72025 70400 
8 50 100 76015 80400 
9 50 100 87185 90400 
10 50 100 90804 100400 
11 50 100 98664 110400 
12 50 100 107168 120400 
13 50 100 114266 130400 
14 50 100 123999 140400 
15 50 100 130636 150400 
16 50 100 139600 160400 
17 50 100 151932 170400 
18 50 100 155632 180400 
19 50 100 165325 190400 
20 50 100 173598 200400 
21 50 100 180237 210400 
22 50 100 189835 220400 
23 50 100 195615 230400 
24 50 100 203670 240400 
25 50 100 212221 250400 
26 50 100 224691 260400 
27 50 100 231416 270400 
28 50 100 239947 280400 
29 50 100 250336 290400 
30 50 100 255779 300400 
30 50 100 258953 300400 
31 50 100 267211 310400 
32 50 100 272003 320400 
33 50 100 278710 330400 
34 50 100 303315 340400 
35 50 100 296513 350400 
36 50 100 303132 360400 
37 50 100 335520 370400 
38 50 100 330330 380400 
39 50 100 347697 390400 
40 50 100 338523 400400 
41 50 100 353096 410400 
42 50 100 350907 420400 
43 50 100 369637 430400 
44 50 100 371911 440400 
45 50 100 378827 450400 
46 50 100 386775 460400 
47 50 100 396364 470400 
48 50 100 408768 480400 
49 50 100 416438 490400 
50 50 100 434772 500400 
51 50 100 434562 510400 
52 50 100 441114 520400 
53 50 100 443823 530400 
54 50 100 453863 540400 
55 50 100 462455 550400 
56 50 100 479427 560400 
57 50 100 479299 570400 
58 50 100 490715 580400 
59 50 100 505532 590400 
60 50 100 503052 600400 
60 50 100 503068 600400 
61 50 100 516822 610400 
62 50 100 526558 620400 
63 50 100 529976 630400 
64 50 100 541089 640400 
65 50 100 537621 650400 
66 50 100 556783 660400 
67 50 100 568197 670400 
68 50 100 568690 680400 
69 50 100 575790 690400 
70 50 100 594776 700400 
71 50 100 601007 710400 
72 50 100 606876 720400 
73 50 100 648418 730400 
74 50 100 639592 740400 
75 50 100 635321 750400 
76 50 100 642359 760400 
77 50 100 675359 770400 
78 50 100 651556 780400 
79 50 100 666830 790400 
80 50 100 665816 800400 
81 50 100 695789 810400 
82 50 100 695550 820400 
83 50 100 704371 830400 
84 50 100 711830 840400 
85 50 100 714562 850400 
86 50 100 719043 860400 
87 50 100 793270 870400 
88 50 100 771522 880400 
89 50 100 759838 890400 
90 50 100 775439 900400 
91 50 100 769808 910400 
92 50 100 788607 920400 
93 50 100 779694 930400 
94 50 100 786507 940400 
95 50 100 802545 950400 
96 50 100 814472 960400 
97 50 100 815939 970400 
98 50 100 830195 980400 
99 50 100 828760 990400 
100 50 100 865207 1000400 
test 6: gpu version, x: number of connections per layer, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
5 50 1 52934 50400 
5 50 2 53981 50400 
5 50 3 55005 50400 
5 50 4 55427 50400 
5 50 5 51495 50400 
5 50 6 53064 50400 
5 50 7 51384 50400 
5 50 8 57281 50400 
5 50 9 52608 50400 
5 50 10 56126 50400 
5 50 11 54663 50400 
5 50 12 54915 50400 
5 50 13 51890 50400 
5 50 14 53298 50400 
5 50 15 52135 50400 
5 50 16 53128 50400 
5 50 17 54468 50400 
5 50 18 52470 50400 
5 50 19 53476 50400 
5 50 20 55922 50400 
5 50 21 53679 50400 
5 50 22 54626 50400 
5 50 23 51808 50400 
5 50 24 53962 50400 
5 50 25 52720 50400 
5 50 26 56033 50400 
5 50 27 53821 50400 
5 50 28 54340 50400 
5 50 29 55832 50400 
5 50 30 49957 50400 
5 50 31 52733 50400 
5 50 32 53395 50400 
5 50 33 52511 50400 
5 50 34 53338 50400 
5 50 35 54537 50400 
5 50 36 53055 50400 
5 50 37 54617 50400 
5 50 38 51893 50400 
5 50 39 53013 50400 
5 50 40 53477 50400 
5 50 41 50677 50400 
5 50 42 55548 50400 
5 50 43 54754 50400 
5 50 44 51987 50400 
5 50 45 51151 50400 
5 50 46 54785 50400 
5 50 47 53293 50400 
5 50 48 55008 50400 
5 50 49 54844 50400 
5 50 50 54870 50400 
5 50 51 55471 50400 
5 50 52 56339 50400 
5 50 53 54292 50400 
5 50 54 51807 50400 
5 50 55 58203 50400 
5 50 56 56734 50400 
5 50 57 54102 50400 
5 50 58 56105 50400 
5 50 59 55407 50400 
5 50 60 57557 50400 
5 50 61 54612 50400 
5 50 62 54954 50400 
5 50 63 54343 50400 
5 50 64 55001 50400 
5 50 65 52103 50400 
5 50 66 55201 50400 
5 50 67 54800 50400 
5 50 68 52191 50400 
5 50 69 51853 50400 
5 50 70 54617 50400 
5 50 71 56151 50400 
5 50 72 54813 50400 
5 50 73 56809 50400 
5 50 74 55668 50400 
5 50 75 55980 50400 
5 50 76 56126 50400 
5 50 77 54942 50400 
5 50 78 59050 50400 
5 50 79 53775 50400 
5 50 80 55602 50400 
5 50 81 54706 50400 
5 50 82 55637 50400 
5 50 83 53559 50400 
5 50 84 55512 50400 
5 50 85 56410 50400 
5 50 86 59542 50400 
5 50 87 56432 50400 
5 50 88 55370 50400 
5 50 89 59052 50400 
5 50 90 55261 50400 
5 50 91 58384 50400 
5 50 92 54136 50400 
5 50 93 52699 50400 
5 50 94 57071 50400 
5 50 95 52931 50400 
5 50 96 56030 50400 
5 50 97 55593 50400 
5 50 98 55290 50400 
5 50 99 58396 50400 
5 50 100 53782 50400 
test 7: gpu optimized version, x: number of neurons per layer, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
5 1 100 211525 68 
5 2 100 206768 256 
5 3 100 184850 564 
5 4 100 157833 992 
5 5 100 192621 1540 
5 6 100 373962 2208 
5 7 100 488234 2996 
5 8 100 378979 3904 
5 9 100 463283 4932 
5 10 100 392329 6080 
5 11 100 526454 7348 
5 12 100 451896 8736 
5 13 100 423128 10244 
5 14 100 397374 11872 
5 15 100 368802 13620 
5 16 100 371113 15488 
5 17 100 384269 17476 
5 18 100 382661 19584 
5 19 100 402754 21812 
5 20 100 454734 24160 
5 21 100 495221 26628 
5 22 100 388711 29216 
5 23 100 451088 31924 
5 24 100 356739 34752 
5 25 100 455000 37700 
5 26 100 395185 40768 
5 27 100 504617 43956 
5 28 100 458834 47264 
5 29 100 426049 50692 
5 30 100 396434 54240 
5 31 100 384653 57908 
5 32 100 358730 61696 
5 33 100 386596 65604 
5 34 100 401955 69632 
5 35 100 434008 73780 
5 36 100 470101 78048 
5 37 100 529066 82436 
5 38 100 417598 86944 
5 39 100 486896 91572 
5 40 100 391717 96320 
5 41 100 492345 101188 
5 42 100 420269 106176 
5 43 100 544005 111284 
5 44 100 487454 116512 
5 45 100 457762 121860 
5 46 100 434006 127328 
5 47 100 424880 132916 
5 48 100 409587 138624 
5 49 100 427078 144452 
5 50 100 442172 150400 
5 51 100 473581 156468 
5 52 100 506815 162656 
5 53 100 572320 168964 
5 54 100 448796 175392 
5 55 100 524356 181940 
5 56 100 435359 188608 
5 57 100 539147 195396 
5 58 100 466923 202304 
5 59 100 591737 209332 
5 60 100 536745 216480 
5 61 100 503628 223748 
5 62 100 472930 231136 
5 63 100 461639 238644 
5 64 100 430868 246272 
5 65 100 472932 254020 
5 66 100 490266 261888 
5 67 100 520852 269876 
5 68 100 559552 277984 
5 69 100 613730 286212 
5 70 100 490154 294560 
5 71 100 568284 303028 
5 72 100 482052 311616 
5 73 100 586649 320324 
5 74 100 511531 329152 
5 75 100 630807 338100 
5 76 100 574927 347168 
5 77 100 547373 356356 
5 78 100 516778 365664 
5 79 100 513205 375092 
5 80 100 504269 384640 
5 81 100 519410 394308 
5 82 100 530208 404096 
5 83 100 556496 414004 
5 84 100 592455 424032 
5 85 100 676182 434180 
5 86 100 563735 444448 
5 87 100 631023 454836 
5 88 100 523615 465344 
5 89 100 634347 475972 
5 90 100 555080 486720 
5 91 100 691238 497588 
5 92 100 638584 508576 
5 93 100 603042 519684 
5 94 100 572436 530912 
5 95 100 558117 542260 
5 96 100 543474 553728 
5 97 100 580798 565316 
5 98 100 594663 577024 
5 99 100 625243 588852 
5 100 100 657082 600800 
test 8: gpu optimized version, x: number of layers, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
1 50 100 695 30400 
2 50 100 116555 60400 
3 50 100 223498 90400 
4 50 100 335302 120400 
5 50 100 445664 150400 
6 50 100 553988 180400 
7 50 100 663968 210400 
8 50 100 787318 240400 
9 50 100 884401 270400 
10 50 100 1000599 300400 
11 50 100 1113615 330400 
12 50 100 1231580 360400 
13 50 100 1346451 390400 
14 50 100 1465680 420400 
15 50 100 1575986 450400 
16 50 100 1703913 480400 
17 50 100 1813021 510400 
18 50 100 1973029 540400 
19 50 100 2063577 570400 
20 50 100 2176528 600400 
21 50 100 2303351 630400 
22 50 100 2423765 660400 
23 50 100 2535756 690400 
24 50 100 2676367 720400 
25 50 100 2793564 750400 
26 50 100 2912580 780400 
27 50 100 3071258 810400 
28 50 100 3167131 840400 
29 50 100 3295651 870400 
30 50 100 3464908 900400 
31 50 100 3586390 930400 
32 50 100 3671350 960400 
33 50 100 3828748 990400 
34 50 100 3964162 1020400 
35 50 100 4082513 1050400 
36 50 100 4146374 1080400 
37 50 100 4276704 1110400 
38 50 100 4404317 1140400 
39 50 100 4529151 1170400 
40 50 100 4665614 1200400 
41 50 100 4818239 1230400 
42 50 100 4969623 1260400 
43 50 100 5101828 1290400 
44 50 100 5224978 1320400 
45 50 100 5382732 1350400 
46 50 100 5492349 1380400 
47 50 100 5630432 1410400 
48 50 100 5811556 1440400 
49 50 100 5916493 1470400 
50 50 100 6076177 1500400 
50 50 100 6048581 1500400 
51 50 100 6210385 1530400 
52 50 100 6348977 1560400 
53 50 100 6485437 1590400 
54 50 100 6659783 1620400 
55 50 100 6743537 1650400 
56 50 100 6909376 1680400 
57 50 100 7041554 1710400 
58 50 100 7202337 1740400 
59 50 100 7406273 1770400 
60 50 100 7512381 1800400 
61 50 100 7615627 1830400 
62 50 100 7776414 1860400 
63 50 100 7957272 1890400 
64 50 100 8107186 1920400 
65 50 100 8283769 1950400 
66 50 100 8416203 1980400 
67 50 100 8535103 2010400 
68 50 100 8694593 2040400 
69 50 100 8693458 2070400 
70 50 100 8843147 2100400 
71 50 100 8992504 2130400 
72 50 100 9167754 2160400 
73 50 100 9351392 2190400 
74 50 100 9455400 2220400 
75 50 100 9701437 2250400 
76 50 100 9788987 2280400 
77 50 100 9916797 2310400 
78 50 100 10115413 2340400 
79 50 100 10265810 2370400 
80 50 100 10392939 2400400 
81 50 100 10580163 2430400 
82 50 100 10815840 2460400 
83 50 100 10898699 2490400 
84 50 100 11047786 2520400 
85 50 100 11265392 2550400 
86 50 100 11396678 2580400 
87 50 100 11566116 2610400 
88 50 100 11848778 2640400 
89 50 100 11866127 2670400 
90 50 100 12158720 2700400 
91 50 100 12163708 2730400 
92 50 100 12374864 2760400 
93 50 100 12677857 2790400 
94 50 100 12707684 2820400 
95 50 100 12906420 2850400 
96 50 100 13053660 2880400 
97 50 100 13311555 2910400 
98 50 100 13432372 2940400 
99 50 100 13604529 2970400 
100 50 100 13799945 3000400 
test 9: gpu optimized version, x: number of connections per layer, y: execution time, all else will remain fixed
numberoflayers: neuronsperlayer: connectionproportion: time: space:
5 50 1 149327 1900 
5 50 2 463830 3400 
5 50 3 425527 4900 
5 50 4 383254 6400 
5 50 5 512872 7900 
5 50 6 484590 9400 
5 50 7 448119 10900 
5 50 8 412647 12400 
5 50 9 361555 13900 
5 50 10 501398 15400 
5 50 11 457830 16900 
5 50 12 417831 18400 
5 50 13 389180 19900 
5 50 14 525983 21400 
5 50 15 482678 22900 
5 50 16 452121 24400 
5 50 17 403127 25900 
5 50 18 378346 27400 
5 50 19 505153 28900 
5 50 20 475484 30400 
5 50 21 428628 31900 
5 50 22 392502 33400 
5 50 23 541402 34900 
5 50 24 493495 36400 
5 50 25 464638 37900 
5 50 26 419588 39400 
5 50 27 380837 40900 
5 50 28 524904 42400 
5 50 29 493590 43900 
5 50 30 446469 45400 
5 50 31 418322 46900 
5 50 32 375158 48400 
5 50 33 514149 49900 
5 50 34 478895 51400 
5 50 35 435071 52900 
5 50 36 396925 54400 
5 50 37 547874 55900 
5 50 38 500121 57400 
5 50 39 454305 58840 
5 50 40 419185 60400 
5 50 41 378227 61900 
5 50 42 523002 63400 
5 50 43 486452 64900 
5 50 44 447843 66400 
5 50 45 409492 67900 
5 50 46 546941 69400 
5 50 47 513824 70900 
5 50 48 475380 72400 
5 50 49 434738 73900 
5 50 50 398274 75400 
5 50 51 535286 76900 
5 50 52 498608 78400 
5 50 53 457195 79840 
5 50 54 421200 81400 
5 50 55 565104 82900 
5 50 56 524079 84400 
5 50 57 487600 85900 
5 50 58 449919 87400 
5 50 59 410312 88840 
5 50 60 553374 90400 
5 50 61 511167 91900 
5 50 62 472756 93400 
5 50 63 451534 94900 
5 50 64 394943 96400 
5 50 65 539035 97900 
5 50 66 501374 99400 
5 50 67 462227 100900 
5 50 68 423371 102400 
5 50 69 561191 103900 
5 50 70 523102 105400 
5 50 71 485534 106900 
5 50 72 447722 108400 
5 50 73 410966 109900 
5 50 74 546816 111400 
5 50 75 508285 112900 
5 50 76 467352 114400 
5 50 77 433393 115900 
5 50 78 563365 117340 
5 50 79 531894 118900 
5 50 80 498371 120400 
5 50 81 450309 121900 
5 50 82 411747 123400 
5 50 83 553965 124900 
5 50 84 523205 126400 
5 50 85 482930 127900 
5 50 86 448603 129400 
5 50 87 584006 130900 
5 50 88 552674 132400 
5 50 89 512865 133900 
5 50 90 476415 135400 
5 50 91 433510 136900 
5 50 92 574021 138400 
5 50 93 532429 139900 
5 50 94 498539 141400 
5 50 95 461330 142900 
5 50 96 419419 144400 
5 50 97 559566 145900 
5 50 98 527377 147400 
5 50 99 481697 148900 
5 50 100 446716 150400 
